order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds
587175,1,Shanghai,4467,121.52132,31.06591,450,1,08-28 09:59:00,08-28 09:59:00,121.52286,31.10778,08-28 12:46:00,08-28 12:46:00,121.52132,31.06586,828
3659864,1,Shanghai,4467,121.52122,31.06593,450,1,07-02 10:06:00,07-02 10:06:00,121.52285,31.10594,07-02 17:38:00,07-02 17:38:00,121.52139,31.06583,702
564721,1,Shanghai,4467,121.52116,31.0662,450,1,07-18 09:56:00,07-18 09:56:00,121.52281,31.10592,07-18 18:53:00,07-18 18:53:00,121.52121,31.06624,718
1302678,1,Shanghai,4467,121.52113,31.06628,450,1,07-13 10:53:00,07-13 10:53:00,121.52284,31.106,07-13 19:12:00,07-13 19:12:00,121.52115,31.06611,713
3580720,1,Shanghai,4467,121.52105,31.06745,450,1,07-18 09:54:00,07-18 09:54:00,121.52282,31.10606,07-18 17:24:00,07-18 17:24:00,121.52104,31.06735,718
538107,1,Shanghai,4467,121.52139,31.06582,450,1,08-14 10:14:00,08-14 10:14:00,121.52281,31.10602,08-14 18:43:00,08-14 18:43:00,121.52133,31.06584,814
3822236,1,Shanghai,4467,121.52056,31.06571,450,1,08-25 14:20:00,08-25 14:20:00,121.52273,31.10604,08-25 16:21:00,08-25 16:21:00,121.52054,31.06569,825
683913,1,Shanghai,4467,121.52112,31.06612,450,1,07-31 09:06:00,07-31 09:06:00,121.52276,31.10595,07-31 17:44:00,07-31 17:44:00,121.52117,31.06617,731
2703519,1,Shanghai,4467,121.52125,31.0662,450,1,07-15 14:41:00,07-15 14:41:00,121.52289,31.106,07-15 18:42:00,07-15 18:42:00,121.52129,31.06617,715
2290761,1,Shanghai,4467,121.52198,31.06519,450,1,10-06 13:01:00,10-06 13:01:00,121.52285,31.10772,10-06 13:27:00,10-06 13:27:00,121.52193,31.06515,1006
2408460,1,Shanghai,4467,121.52117,31.0669,450,1,07-11 10:35:00,07-11 10:35:00,121.52286,31.10591,07-11 17:28:00,07-11 17:28:00,121.52122,31.06689,711
743039,1,Shanghai,4467,121.52114,31.06696,450,1,09-10 09:46:00,09-10 09:46:00,121.5229,31.10787,09-10 13:44:00,09-10 13:44:00,121.52125,31.06685,910
4442569,1,Shanghai,4467,121.52125,31.06584,450,1,07-18 09:57:00,07-18 09:57:00,121.52271,31.10603,07-18 17:44:00,07-18 17:44:00,121.52128,31.06593,718
2453920,1,Shanghai,4467,121.52122,31.06596,450,1,08-13 13:28:00,08-13 13:28:00,121.52289,31.10601,08-13 17:47:00,08-13 17:47:00,121.52126,31.0659,813
4046453,1,Shanghai,4467,121.52122,31.06594,450,1,07-24 09:31:00,07-24 09:31:00,121.52275,31.10591,07-24 17:46:00,07-24 17:46:00,121.52133,31.06589,724
2867322,1,Shanghai,4467,121.52197,31.06505,450,1,09-27 14:41:00,09-27 14:41:00,121.52291,31.10784,09-27 15:49:00,09-27 15:49:00,121.522,31.06501,927
