id_rute,asal,tujuan,jarak
R0223,L025,L092,3.32
R0224,L087,L076,0.1
R0225,L070,L005,0.1
R0226,L098,L085,0.89
R0227,L029,L071,0.1
R0228,L072,L051,0.11
R0229,L028,L026,0.1
R0230,L092,L029,3.47
R0231,L029,L089,0.1
R0232,L092,L038,3.44
R0233,L095,L034,3.44
R0234,L076,L030,0.1
R0235,L021,L014,0.1
R0236,L088,L013,0.24
R0237,L082,L091,3.43
R0238,L054,L020,0.1
R0239,L053,L073,0.1
R0240,L038,L021,0.1
R0241,L023,L041,0.1
R0242,L019,L016,0.1
R0243,L017,L083,0.1
R0244,L080,L032,0.1
R0245,L087,L080,0.13
R0246,L091,L041,3.5
R0247,L079,L085,0.24
R0248,L071,L081,0.13
R0249,L078,L089,0.1
R0250,L006,L082,0.1
R0251,L048,L097,3.44
R0252,L018,L093,3.44
R0253,L007,L065,0.1
R0254,L054,L015,0.13
R0255,L074,L100,0.81
R0256,L057,L029,0.1
R0257,L004,L023,0.1
R0258,L077,L007,0.1
R0259,L023,L036,0.1
R0260,L075,L074,0.1
R0261,L038,L034,0.1
R0262,L066,L016,0.1
R0263,L058,L012,0.13
R0264,L003,L076,0.1
R0265,L014,L073,0.1
R0266,L087,L057,0.1
R0267,L004,L050,0.15
R0268,L036,L082,0.1
R0269,L008,L020,0.11
R0270,L071,L067,0.12
R0271,L090,L080,3.48
R0272,L049,L048,0.1
R0273,L020,L012,0.17
R0274,L095,L015,3.29
R0275,L083,L050,0.12
R0276,L072,L050,0.12
R0277,L070,L089,0.12
R0278,L010,L093,3.36
R0279,L042,L036,0.1
R0280,L034,L041,0.1
R0281,L057,L006,0.1
R0282,L034,L050,0.11
R0283,L026,L046,0.1
R0284,L023,L022,0.1
R0285,L013,L085,0.23
R0286,L044,L063,0.1
R0287,L067,L074,0.14
R0288,L068,L039,0.14
R0289,L052,L085,0.12
R0290,L097,L084,3.42
R0291,L080,L013,0.22
R0292,L092,L005,3.45
R0293,L037,L069,0.1
R0294,L061,L017,0.11
R0295,L061,L035,0.11
R0296,L042,L031,0.1
R0297,L094,L032,3.49
R0298,L054,L014,0.1
R0299,L086,L046,0.12
R0300,L046,L010,0.1
R0301,L063,L090,3.49
R0302,L085,L087,0.14
R0303,L015,L013,0.1
R0304,L086,L064,0.12
R0305,L068,L025,0.13
R0306,L004,L031,0.1
R0307,L013,L098,0.67
R0308,L002,L061,0.21
R0309,L089,L075,0.1
R0310,L091,L026,3.42
R0311,L037,L055,0.1
R0312,L083,L022,0.14
R0313,L047,L087,0.1
R0314,L041,L016,0.1
R0315,L064,L027,0.17
R0316,L095,L005,3.42
R0317,L093,L072,3.46
R0318,L078,L083,0.1
R0319,L016,L099,0.82
R0320,L062,L066,0.1
R0321,L051,L075,0.16
R0322,L094,L054,3.42
R0323,L040,L092,3.48
R0324,L086,L059,0.1
R0325,L098,L024,0.8
R0326,L060,L007,0.1
R0327,L090,L020,3.44
R0328,L068,L029,0.1
R0329,L036,L067,0.12
R0330,L010,L024,0.17
R0331,L049,L006,0.1
R0332,L002,L083,0.11
R0333,L029,L046,0.12
R0334,L039,L087,0.14
R0335,L030,L029,0.1
R0336,L039,L096,3.3
R0337,L006,L071,0.1
R0338,L082,L039,0.14
R0339,L074,L071,0.1
R0340,L021,L065,0.14
R0341,L086,L045,0.11
R0342,L044,L039,0.27
R0343,L024,L079,0.14
R0344,L014,L062,0.1
R0345,L035,L094,3.45
R0346,L080,L007,0.12
R0347,L066,L072,0.1
R0348,L080,L016,0.13
R0349,L006,L039,0.15
R0350,L049,L019,0.1
R0351,L027,L080,0.1
R0352,L099,L096,2.81
R0353,L027,L089,0.1
R0354,L070,L069,0.16
R0355,L053,L007,0.1
R0356,L094,L017,3.46
R0357,L092,L084,3.46
R0358,L086,L013,0.13
R0359,L082,L061,0.15
R0360,L055,L062,0.1
R0361,L036,L048,0.1
R0362,L054,L084,0.1
R0363,L057,L080,0.14
R0364,L077,L058,0.1
R0365,L006,L034,0.1
R0366,L066,L085,0.1
R0367,L027,L084,0.1
R0368,L022,L015,0.1
R0369,L074,L025,0.13
R0370,L082,L038,0.1
R0371,L020,L072,0.1
R0372,L021,L037,0.11
R0373,L028,L085,0.14
R0374,L085,L076,0.2
R0375,L044,L038,0.15
R0376,L017,L021,0.15
R0377,L044,L047,0.11
R0378,L088,L081,0.1
R0379,L006,L002,0.1
R0380,L035,L084,0.1
R0381,L093,L025,3.32
R0382,L050,L054,0.16
R0383,L016,L061,0.14
R0384,L039,L063,0.27
R0385,L006,L038,0.1
R0386,L008,L066,0.11
R0387,L022,L010,0.1
R0388,L007,L021,0.12
R0389,L016,L088,0.14
R0390,L082,L033,0.1
R0391,L027,L097,3.48
R0392,L080,L100,0.91
R0393,L082,L042,0.1
R0394,L040,L036,0.1
R0395,L020,L067,0.11
R0396,L086,L012,0.17
R0397,L040,L054,0.1
R0398,L076,L075,0.14
R0399,L052,L019,0.1
R0400,L001,L081,0.14
R0401,L088,L049,0.12
R0402,L044,L024,0.11
R0403,L100,L023,0.81
R0404,L065,L074,0.1
R0405,L048,L003,0.15
R0406,L097,L054,3.41
R0407,L023,L077,0.1
R0408,L046,L079,0.1
R0409,L016,L047,0.1
R0410,L046,L097,3.34
R0411,L035,L097,3.44
R0412,L023,L095,3.41
R0413,L050,L067,0.1
R0414,L080,L068,0.14
R0415,L080,L077,0.2
R0416,L009,L044,0.27
R0417,L055,L011,0.15
R0418,L021,L009,0.1
R0419,L043,L046,0.1
R0420,L001,L058,0.1
R0421,L052,L005,0.1
R0422,L013,L023,0.1
R0423,L064,L096,3.34
R0424,L061,L072,0.11
R0425,L076,L070,0.1
R0426,L014,L006,0.1
R0427,L096,L066,3.45
R0428,L053,L095,3.33
R0429,L026,L078,0.1
R0430,L054,L069,0.1
R0431,L057,L074,0.1
R0432,L016,L051,0.1
R0433,L028,L025,0.14
R0434,L062,L045,0.1
R0435,L083,L077,0.11
R0436,L022,L085,0.23
R0437,L007,L096,3.43
R0438,L095,L078,3.4
R0439,L014,L001,0.1
R0440,L044,L014,0.14
R0441,L100,L013,0.71
R0442,L017,L006,0.1
R0443,L089,L031,0.1
R0444,L057,L060,0.1
R0445,L048,L002,0.1
R0446,L015,L054,0.13
R0447,L026,L100,0.81
R0448,L056,L082,0.1
R0449,L028,L029,0.1
R0450,L001,L012,0.15
R0451,L018,L092,3.44
R0452,L009,L034,0.17
R0453,L043,L036,0.1
R0454,L012,L048,0.16
R0455,L007,L082,0.1
R0456,L034,L054,0.1
R0457,L085,L047,0.11
R0458,L057,L028,0.1
R0459,L088,L043,0.15
R0460,L075,L091,3.48
R0461,L086,L091,3.45
R0462,L038,L060,0.1
R0463,L039,L025,0.1
R0464,L047,L038,0.1
R0465,L091,L053,3.34
R0466,L083,L049,0.1
R0467,L043,L031,0.1
R0468,L029,L096,3.45
R0469,L012,L025,0.1
R0470,L061,L039,0.28
R0471,L084,L041,0.1
R0472,L042,L035,0.1
R0473,L001,L043,0.1
R0474,L045,L040,0.12
R0475,L041,L088,0.17
R0476,L007,L086,0.1
R0477,L065,L018,0.1
R0478,L034,L067,0.11
R0479,L100,L012,0.69
R0480,L035,L050,0.12
R0481,L026,L081,0.14
R0482,L015,L053,0.1
R0483,L017,L090,3.45
R0484,L008,L032,0.15
R0485,L020,L006,0.1
R0486,L001,L002,0.1
R0487,L072,L062,0.1
R0488,L061,L025,0.27
R0489,L064,L058,0.1
R0490,L072,L071,0.1
R0491,L018,L100,0.8
R0492,L065,L022,0.13
R0493,L011,L051,0.23
R0494,L045,L053,0.1
R0495,L053,L066,0.12
R0496,L094,L067,3.51
R0497,L088,L033,0.24
R0498,L063,L098,0.89
R0499,L098,L046,0.68
R0500,L044,L093,3.52
